sku,channel,week,units,revenue,cost,region,rep,note
SKU-1269,web,2026-W30,24,288.00,207.36,EU-North,Rep-5,Regular sell-through in the field. batch 269
SKU-1270,web,2026-W31,25,200.00,144.00,EU-North,Rep-6,Regular sell-through in the field. batch 270
SKU-1271,web,2026-W32,26,234.00,168.48,EU-North,Rep-7,Regular sell-through in the field. batch 271
SKU-1272,web,2026-W33,10,100.00,72.00,EU-North,Rep-8,Regular sell-through in the field. batch 272
SKU-1273,web,2026-W34,11,121.00,87.12,EU-North,Rep-9,Regular sell-through in the field. batch 273
SKU-1274,web,2026-W35,12,144.00,103.68,EU-North,Rep-10,Regular sell-through in the field. batch 274
SKU-1275,web,2026-W36,13,104.00,74.88,EU-North,Rep-11,Regular sell-through in the field. batch 275
SKU-1276,web,2026-W37,14,126.00,90.72,EU-North,Rep-0,Regular sell-through in the field. batch 276
SKU-1277,web,2026-W38,15,150.00,108.00,EU-North,Rep-1,Regular sell-through in the field. batch 277
SKU-1278,web,2026-W39,16,176.00,126.72,EU-North,Rep-2,Regular sell-through in the field. batch 278
SKU-1279,web,2026-W40,17,204.00,146.88,EU-North,Rep-3,Regular sell-through in the field. batch 279
SKU-1280,web,2026-W1,18,144.00,103.68,EU-North,Rep-4,Regular sell-through in the field. batch 280
SKU-1281,web,2026-W2,19,171.00,123.12,EU-North,Rep-5,Regular sell-through in the field. batch 281
SKU-1282,web,2026-W3,20,200.00,144.00,EU-North,Rep-6,Regular sell-through in the field. batch 282
SKU-1283,web,2026-W4,21,231.00,166.32,EU-North,Rep-7,Regular sell-through in the field. batch 283
SKU-1284,web,2026-W5,22,264.00,190.08,EU-North,Rep-8,Regular sell-through in the field. batch 284
SKU-1285,web,2026-W6,23,184.00,132.48,EU-North,Rep-9,Regular sell-through in the field. batch 285
SKU-1286,web,2026-W7,24,216.00,155.52,EU-North,Rep-10,Regular sell-through in the field. batch 286
SKU-1287,web,2026-W8,25,250.00,180.00,EU-North,Rep-11,Regular sell-through in the field. batch 287
SKU-1288,web,2026-W9,26,286.00,205.92,EU-North,Rep-0,Regular sell-through in the field. batch 288
SKU-1289,web,2026-W10,10,120.00,86.40,EU-North,Rep-1,Regular sell-through in the field. batch 289
SKU-1290,web,2026-W11,11,88.00,63.36,EU-North,Rep-2,Regular sell-through in the field. batch 290
SKU-1291,web,2026-W12,12,108.00,77.76,EU-North,Rep-3,Regular sell-through in the field. batch 291
SKU-1292,web,2026-W13,13,130.00,93.60,EU-North,Rep-4,Regular sell-through in the field. batch 292
SKU-1293,web,2026-W14,14,154.00,110.88,EU-North,Rep-5,Regular sell-through in the field. batch 293
SKU-1294,web,2026-W15,15,180.00,129.60,EU-North,Rep-6,Regular sell-through in the field. batch 294
SKU-1295,web,2026-W16,16,128.00,92.16,EU-North,Rep-7,Regular sell-through in the field. batch 295
SKU-1296,web,2026-W17,17,153.00,110.16,EU-North,Rep-8,Regular sell-through in the field. batch 296
SKU-1297,web,2026-W18,18,180.00,129.60,EU-North,Rep-9,Regular sell-through in the field. batch 297
SKU-1298,web,2026-W19,19,209.00,150.48,EU-North,Rep-10,Regular sell-through in the field. batch 298
SKU-1299,web,2026-W20,20,240.00,172.80,EU-North,Rep-11,Regular sell-through in the field. batch 299
SKU-1300,web,2026-W21,21,168.00,120.96,EU-North,Rep-0,Regular sell-through in the field. batch 300
SKU-1301,web,2026-W22,22,198.00,142.56,EU-North,Rep-1,Regular sell-through in the field. batch 301
SKU-1302,web,2026-W23,23,230.00,165.60,EU-North,Rep-2,Regular sell-through in the field. batch 302
SKU-1303,web,2026-W24,24,264.00,190.08,EU-North,Rep-3,Regular sell-through in the field. batch 303
SKU-1304,web,2026-W25,25,300.00,216.00,EU-North,Rep-4,Regular sell-through in the field. batch 304
SKU-1305,web,2026-W26,26,208.00,149.76,EU-North,Rep-5,Regular sell-through in the field. batch 305
SKU-1306,web,2026-W27,10,90.00,64.80,EU-North,Rep-6,Regular sell-through in the field. batch 306
SKU-1307,web,2026-W28,11,110.00,79.20,EU-North,Rep-7,Regular sell-through in the field. batch 307
SKU-1308,web,2026-W29,12,132.00,95.04,EU-North,Rep-8,Regular sell-through in the field. batch 308
SKU-1309,web,2026-W30,13,156.00,112.32,EU-North,Rep-9,Regular sell-through in the field. batch 309
SKU-1310,web,2026-W31,14,112.00,80.64,EU-North,Rep-10,Regular sell-through in the field. batch 310
SKU-1311,web,2026-W32,15,135.00,97.20,EU-North,Rep-11,Regular sell-through in the field. batch 311
SKU-1312,web,2026-W33,16,160.00,115.20,EU-North,Rep-0,Regular sell-through in the field. batch 312
SKU-1313,web,2026-W34,17,187.00,134.64,EU-North,Rep-1,Regular sell-through in the field. batch 313
SKU-1314,web,2026-W35,18,216.00,155.52,EU-North,Rep-2,Regular sell-through in the field. batch 314
SKU-1315,web,2026-W36,19,152.00,109.44,EU-North,Rep-3,Regular sell-through in the field. batch 315
SKU-1316,web,2026-W37,20,180.00,129.60,EU-North,Rep-4,Regular sell-through in the field. batch 316
SKU-1317,web,2026-W38,21,210.00,151.20,EU-North,Rep-5,Regular sell-through in the field. batch 317
SKU-1318,web,2026-W39,22,242.00,174.24,EU-North,Rep-6,Regular sell-through in the field. batch 318
SKU-1319,web,2026-W40,23,276.00,198.72,EU-North,Rep-7,Regular sell-through in the field. batch 319
SKU-1320,web,2026-W1,24,192.00,138.24,EU-North,Rep-8,Regular sell-through in the field. batch 320
SKU-1321,web,2026-W2,25,225.00,162.00,EU-North,Rep-9,Regular sell-through in the field. batch 321
SKU-1322,web,2026-W3,26,260.00,187.20,EU-North,Rep-10,Regular sell-through in the field. batch 322
SKU-1323,web,2026-W4,10,110.00,79.20,EU-North,Rep-11,Regular sell-through in the field. batch 323
SKU-1324,web,2026-W5,11,132.00,95.04,EU-North,Rep-0,Regular sell-through in the field. batch 324
SKU-1325,web,2026-W6,12,96.00,69.12,EU-North,Rep-1,Regular sell-through in the field. batch 325
SKU-1326,web,2026-W7,13,117.00,84.24,EU-North,Rep-2,Regular sell-through in the field. batch 326
SKU-1327,web,2026-W8,14,140.00,100.80,EU-North,Rep-3,Regular sell-through in the field. batch 327
SKU-1328,web,2026-W9,15,165.00,118.80,EU-North,Rep-4,Regular sell-through in the field. batch 328
SKU-1329,web,2026-W10,16,192.00,138.24,EU-North,Rep-5,Regular sell-through in the field. batch 329
SKU-1330,web,2026-W11,17,136.00,97.92,EU-North,Rep-6,Regular sell-through in the field. batch 330
SKU-1331,web,2026-W12,18,162.00,116.64,EU-North,Rep-7,Regular sell-through in the field. batch 331
SKU-1332,web,2026-W13,19,190.00,136.80,EU-North,Rep-8,Regular sell-through in the field. batch 332
SKU-1333,web,2026-W14,20,220.00,158.40,EU-North,Rep-9,Regular sell-through in the field. batch 333
SKU-1334,web,2026-W15,21,252.00,181.44,EU-North,Rep-10,Regular sell-through in the field. batch 334
SKU-1335,web,2026-W16,22,176.00,126.72,EU-North,Rep-11,Regular sell-through in the field. batch 335
SKU-1336,web,2026-W17,23,207.00,149.04,EU-North,Rep-0,Regular sell-through in the field. batch 336
SKU-1337,web,2026-W18,24,240.00,172.80,EU-North,Rep-1,Regular sell-through in the field. batch 337
SKU-1338,web,2026-W19,25,275.00,198.00,EU-North,Rep-2,Regular sell-through in the field. batch 338
SKU-1339,web,2026-W20,26,312.00,224.64,EU-North,Rep-3,Regular sell-through in the field. batch 339
SKU-1340,web,2026-W21,10,80.00,57.60,EU-North,Rep-4,Regular sell-through in the field. batch 340
SKU-1341,web,2026-W22,11,99.00,71.28,EU-North,Rep-5,Regular sell-through in the field. batch 341
SKU-1342,web,2026-W23,12,120.00,86.40,EU-North,Rep-6,Regular sell-through in the field. batch 342
SKU-1343,web,2026-W24,13,143.00,102.96,EU-North,Rep-7,Regular sell-through in the field. batch 343
SKU-1344,web,2026-W25,14,168.00,120.96,EU-North,Rep-8,Regular sell-through in the field. batch 344
SKU-1345,web,2026-W26,15,120.00,86.40,EU-North,Rep-9,Regular sell-through in the field. batch 345
SKU-1346,web,2026-W27,16,144.00,103.68,EU-North,Rep-10,Regular sell-through in the field. batch 346
SKU-1347,web,2026-W28,17,170.00,122.40,EU-North,Rep-11,Regular sell-through in the field. batch 347
SKU-1348,web,2026-W29,18,198.00,142.56,EU-North,Rep-0,Regular sell-through in the field. batch 348
SKU-1349,web,2026-W30,19,228.00,164.16,EU-North,Rep-1,Regular sell-through in the field. batch 349
SKU-1350,web,2026-W31,20,160.00,115.20,EU-North,Rep-2,Regular sell-through in the field. batch 350
SKU-1351,web,2026-W32,21,189.00,136.08,EU-North,Rep-3,Regular sell-through in the field. batch 351
SKU-1352,web,2026-W33,22,220.00,158.40,EU-North,Rep-4,Regular sell-through in the field. batch 352
SKU-1353,web,2026-W34,23,253.00,182.16,EU-North,Rep-5,Regular sell-through in the field. batch 353
SKU-1354,web,2026-W35,24,288.00,207.36,EU-North,Rep-6,Regular sell-through in the field. batch 354
SKU-1355,web,2026-W36,25,200.00,144.00,EU-North,Rep-7,Regular sell-through in the field. batch 355
SKU-1356,web,2026-W37,26,234.00,168.48,EU-North,Rep-8,Regular sell-through in the field. batch 356
SKU-1357,web,2026-W38,10,100.00,72.00,EU-North,Rep-9,Regular sell-through in the field. batch 357
SKU-1358,web,2026-W39,11,121.00,87.12,EU-North,Rep-10,Regular sell-through in the field. batch 358
SKU-1359,web,2026-W40,12,144.00,103.68,EU-North,Rep-11,Regular sell-through in the field. batch 359
SKU-1360,web,2026-W1,13,104.00,74.88,EU-North,Rep-0,Regular sell-through in the field. batch 360
SKU-1361,web,2026-W2,14,126.00,90.72,EU-North,Rep-1,Regular sell-through in the field. batch 361
SKU-1362,web,2026-W3,15,150.00,108.00,EU-North,Rep-2,Regular sell-through in the field. batch 362
SKU-1363,web,2026-W4,16,176.00,126.72,EU-North,Rep-3,Regular sell-through in the field. batch 363
SKU-1364,web,2026-W5,17,204.00,146.88,EU-North,Rep-4,Regular sell-through in the field. batch 364
SKU-1365,web,2026-W6,18,144.00,103.68,EU-North,Rep-5,Regular sell-through in the field. batch 365
SKU-1366,web,2026-W7,19,171.00,123.12,EU-North,Rep-6,Regular sell-through in the field. batch 366
SKU-1367,web,2026-W8,20,200.00,144.00,EU-North,Rep-7,Regular sell-through in the field. batch 367
SKU-1368,web,2026-W9,21,231.00,166.32,EU-North,Rep-8,Regular sell-through in the field. batch 368
SKU-1369,web,2026-W10,22,264.00,190.08,EU-North,Rep-9,Regular sell-through in the field. batch 369
SKU-1370,web,2026-W11,23,184.00,132.48,EU-North,Rep-10,Regular sell-through in the field. batch 370
SKU-1371,web,2026-W12,24,216.00,155.52,EU-North,Rep-11,Regular sell-through in the field. batch 371
SKU-1372,web,2026-W13,25,250.00,180.00,EU-North,Rep-0,Regular sell-through in the field. batch 372
SKU-1373,web,2026-W14,26,286.00,205.92,EU-North,Rep-1,Regular sell-through in the field. batch 373
SKU-1374,web,2026-W15,10,120.00,86.40,EU-North,Rep-2,Regular sell-through in the field. batch 374
SKU-1375,web,2026-W16,11,88.00,63.36,EU-North,Rep-3,Regular sell-through in the field. batch 375
SKU-1376,web,2026-W17,12,108.00,77.76,EU-North,Rep-4,Regular sell-through in the field. batch 376
SKU-1377,web,2026-W18,13,130.00,93.60,EU-North,Rep-5,Regular sell-through in the field. batch 377
SKU-1378,web,2026-W19,14,154.00,110.88,EU-North,Rep-6,Regular sell-through in the field. batch 378
SKU-1379,web,2026-W20,15,180.00,129.60,EU-North,Rep-7,Regular sell-through in the field. batch 379
SKU-1380,web,2026-W21,16,128.00,92.16,EU-North,Rep-8,Regular sell-through in the field. batch 380
SKU-1381,web,2026-W22,17,153.00,110.16,EU-North,Rep-9,Regular sell-through in the field. batch 381
SKU-1382,web,2026-W23,18,180.00,129.60,EU-North,Rep-10,Regular sell-through in the field. batch 382
SKU-1383,web,2026-W24,19,209.00,150.48,EU-North,Rep-11,Regular sell-through in the field. batch 383
SKU-1384,web,2026-W25,20,240.00,172.80,EU-North,Rep-0,Regular sell-through in the field. batch 384
SKU-1385,web,2026-W26,21,168.00,120.96,EU-North,Rep-1,Regular sell-through in the field. batch 385
SKU-1386,web,2026-W27,22,198.00,142.56,EU-North,Rep-2,Regular sell-through in the field. batch 386
SKU-1387,web,2026-W28,23,230.00,165.60,EU-North,Rep-3,Regular sell-through in the field. batch 387
SKU-1388,web,2026-W29,24,264.00,190.08,EU-North,Rep-4,Regular sell-through in the field. batch 388
SKU-1389,web,2026-W30,25,300.00,216.00,EU-North,Rep-5,Regular sell-through in the field. batch 389
SKU-1390,web,2026-W31,26,208.00,149.76,EU-North,Rep-6,Regular sell-through in the field. batch 390
SKU-1391,web,2026-W32,10,90.00,64.80,EU-North,Rep-7,Regular sell-through in the field. batch 391
SKU-1392,web,2026-W33,11,110.00,79.20,EU-North,Rep-8,Regular sell-through in the field. batch 392
SKU-1393,web,2026-W34,12,132.00,95.04,EU-North,Rep-9,Regular sell-through in the field. batch 393
SKU-1394,web,2026-W35,13,156.00,112.32,EU-North,Rep-10,Regular sell-through in the field. batch 394
SKU-1395,web,2026-W36,14,112.00,80.64,EU-North,Rep-11,Regular sell-through in the field. batch 395
SKU-1396,web,2026-W37,15,135.00,97.20,EU-North,Rep-0,Regular sell-through in the field. batch 396
SKU-1397,web,2026-W38,16,160.00,115.20,EU-North,Rep-1,Regular sell-through in the field. batch 397
SKU-1398,web,2026-W39,17,187.00,134.64,EU-North,Rep-2,Regular sell-through in the field. batch 398
SKU-1399,web,2026-W40,18,216.00,155.52,EU-North,Rep-3,Regular sell-through in the field. batch 399
SKU-1400,web,2026-W1,19,152.00,109.44,EU-North,Rep-4,Regular sell-through in the field. batch 400
SKU-1401,web,2026-W2,20,180.00,129.60,EU-North,Rep-5,Regular sell-through in the field. batch 401
SKU-1402,web,2026-W3,21,210.00,151.20,EU-North,Rep-6,Regular sell-through in the field. batch 402
SKU-1403,web,2026-W4,22,242.00,174.24,EU-North,Rep-7,Regular sell-through in the field. batch 403
SKU-1404,web,2026-W5,23,276.00,198.72,EU-North,Rep-8,Regular sell-through in the field. batch 404
SKU-1405,web,2026-W6,24,192.00,138.24,EU-North,Rep-9,Regular sell-through in the field. batch 405
SKU-1406,web,2026-W7,25,225.00,162.00,EU-North,Rep-10,Regular sell-through in the field. batch 406
SKU-1407,web,2026-W8,26,260.00,187.20,EU-North,Rep-11,Regular sell-through in the field. batch 407
SKU-1408,web,2026-W9,10,110.00,79.20,EU-North,Rep-0,Regular sell-through in the field. batch 408
SKU-1409,web,2026-W10,11,132.00,95.04,EU-North,Rep-1,Regular sell-through in the field. batch 409
SKU-1410,web,2026-W11,12,96.00,69.12,EU-North,Rep-2,Regular sell-through in the field. batch 410
SKU-1411,web,2026-W12,13,117.00,84.24,EU-North,Rep-3,Regular sell-through in the field. batch 411
SKU-1412,web,2026-W13,14,140.00,100.80,EU-North,Rep-4,Regular sell-through in the field. batch 412
SKU-1413,web,2026-W14,15,165.00,118.80,EU-North,Rep-5,Regular sell-through in the field. batch 413
SKU-1414,web,2026-W15,16,192.00,138.24,EU-North,Rep-6,Regular sell-through in the field. batch 414
SKU-1415,web,2026-W16,17,136.00,97.92,EU-North,Rep-7,Regular sell-through in the field. batch 415
SKU-1416,web,2026-W17,18,162.00,116.64,EU-North,Rep-8,Regular sell-through in the field. batch 416
SKU-1417,web,2026-W18,19,190.00,136.80,EU-North,Rep-9,Regular sell-through in the field. batch 417
SKU-1418,web,2026-W19,20,220.00,158.40,EU-North,Rep-10,Regular sell-through in the field. batch 418
SKU-1419,web,2026-W20,21,252.00,181.44,EU-North,Rep-11,Regular sell-through in the field. batch 419
SKU-1420,web,2026-W21,22,176.00,126.72,EU-North,Rep-0,Regular sell-through in the field. batch 420
SKU-1421,web,2026-W22,23,207.00,149.04,EU-North,Rep-1,Regular sell-through in the field. batch 421
SKU-1422,web,2026-W23,24,240.00,172.80,EU-North,Rep-2,Regular sell-through in the field. batch 422
SKU-1423,web,2026-W24,25,275.00,198.00,EU-North,Rep-3,Regular sell-through in the field. batch 423
SKU-1424,web,2026-W25,26,312.00,224.64,EU-North,Rep-4,Regular sell-through in the field. batch 424
SKU-1425,web,2026-W26,10,80.00,57.60,EU-North,Rep-5,Regular sell-through in the field. batch 425
SKU-1426,web,2026-W27,11,99.00,71.28,EU-North,Rep-6,Regular sell-through in the field. batch 426
SKU-1427,web,2026-W28,12,120.00,86.40,EU-North,Rep-7,Regular sell-through in the field. batch 427
SKU-1428,web,2026-W29,13,143.00,102.96,EU-North,Rep-8,Regular sell-through in the field. batch 428
SKU-1429,web,2026-W30,14,168.00,120.96,EU-North,Rep-9,Regular sell-through in the field. batch 429
SKU-1430,web,2026-W31,15,120.00,86.40,EU-North,Rep-10,Regular sell-through in the field. batch 430
SKU-1431,web,2026-W32,16,144.00,103.68,EU-North,Rep-11,Regular sell-through in the field. batch 431
SKU-1432,web,2026-W33,17,170.00,122.40,EU-North,Rep-0,Regular sell-through in the field. batch 432
SKU-1433,web,2026-W34,18,198.00,142.56,EU-North,Rep-1,Regular sell-through in the field. batch 433
SKU-1434,web,2026-W35,19,228.00,164.16,EU-North,Rep-2,Regular sell-through in the field. batch 434
SKU-1435,web,2026-W36,20,160.00,115.20,EU-North,Rep-3,Regular sell-through in the field. batch 435
SKU-1436,web,2026-W37,21,189.00,136.08,EU-North,Rep-4,Regular sell-through in the field. batch 436
SKU-1437,web,2026-W38,22,220.00,158.40,EU-North,Rep-5,Regular sell-through in the field. batch 437
SKU-1438,web,2026-W39,23,253.00,182.16,EU-North,Rep-6,Regular sell-through in the field. batch 438
SKU-1439,web,2026-W40,24,288.00,207.36,EU-North,Rep-7,Regular sell-through in the field. batch 439
SKU-1440,web,2026-W1,25,200.00,144.00,EU-North,Rep-8,Regular sell-through in the field. batch 440
SKU-1441,web,2026-W2,26,234.00,168.48,EU-North,Rep-9,Regular sell-through in the field. batch 441
SKU-1442,web,2026-W3,10,100.00,72.00,EU-North,Rep-10,Regular sell-through in the field. batch 442
SKU-1443,web,2026-W4,11,121.00,87.12,EU-North,Rep-11,Regular sell-through in the field. batch 443
SKU-1444,web,2026-W5,12,144.00,103.68,EU-North,Rep-0,Regular sell-through in the field. batch 444
SKU-1445,web,2026-W6,13,104.00,74.88,EU-North,Rep-1,Regular sell-through in the field. batch 445
SKU-1446,web,2026-W7,14,126.00,90.72,EU-North,Rep-2,Regular sell-through in the field. batch 446
SKU-1447,web,2026-W8,15,150.00,108.00,EU-North,Rep-3,Regular sell-through in the field. batch 447
SKU-1448,web,2026-W9,16,176.00,126.72,EU-North,Rep-4,Regular sell-through in the field. batch 448
SKU-1449,web,2026-W10,17,204.00,146.88,EU-North,Rep-5,Regular sell-through in the field. batch 449
SKU-1450,web,2026-W11,18,144.00,103.68,EU-North,Rep-6,Regular sell-through in the field. batch 450
SKU-1451,web,2026-W12,19,171.00,123.12,EU-North,Rep-7,Regular sell-through in the field. batch 451
SKU-1452,web,2026-W13,20,200.00,144.00,EU-North,Rep-8,Regular sell-through in the field. batch 452
SKU-1453,web,2026-W14,21,231.00,166.32,EU-North,Rep-9,Regular sell-through in the field. batch 453
SKU-1454,web,2026-W15,22,264.00,190.08,EU-North,Rep-10,Regular sell-through in the field. batch 454
SKU-1455,web,2026-W16,23,184.00,132.48,EU-North,Rep-11,Regular sell-through in the field. batch 455
SKU-1456,web,2026-W17,24,216.00,155.52,EU-North,Rep-0,Regular sell-through in the field. batch 456
SKU-1457,web,2026-W18,25,250.00,180.00,EU-North,Rep-1,Regular sell-through in the field. batch 457
SKU-1458,web,2026-W19,26,286.00,205.92,EU-North,Rep-2,Regular sell-through in the field. batch 458
SKU-1459,web,2026-W20,10,120.00,86.40,EU-North,Rep-3,Regular sell-through in the field. batch 459
SKU-1460,web,2026-W21,11,88.00,63.36,EU-North,Rep-4,Regular sell-through in the field. batch 460
SKU-1461,web,2026-W22,12,108.00,77.76,EU-North,Rep-5,Regular sell-through in the field. batch 461
SKU-1462,web,2026-W23,13,130.00,93.60,EU-North,Rep-6,Regular sell-through in the field. batch 462
SKU-1463,web,2026-W24,14,154.00,110.88,EU-North,Rep-7,Regular sell-through in the field. batch 463
SKU-1464,web,2026-W25,15,180.00,129.60,EU-North,Rep-8,Regular sell-through in the field. batch 464
SKU-1465,web,2026-W26,16,128.00,92.16,EU-North,Rep-9,Regular sell-through in the field. batch 465
SKU-1466,web,2026-W27,17,153.00,110.16,EU-North,Rep-10,Regular sell-through in the field. batch 466
SKU-1467,web,2026-W28,18,180.00,129.60,EU-North,Rep-11,Regular sell-through in the field. batch 467
SKU-1468,web,2026-W29,19,209.00,150.48,EU-North,Rep-0,Regular sell-through in the field. batch 468
SKU-1469,web,2026-W30,20,240.00,172.80,EU-North,Rep-1,Regular sell-through in the field. batch 469
SKU-1470,web,2026-W31,21,168.00,120.96,EU-North,Rep-2,Regular sell-through in the field. batch 470
SKU-1471,web,2026-W32,22,198.00,142.56,EU-North,Rep-3,Regular sell-through in the field. batch 471
SKU-1472,web,2026-W33,23,230.00,165.60,EU-North,Rep-4,Regular sell-through in the field. batch 472
SKU-1473,web,2026-W34,24,264.00,190.08,EU-North,Rep-5,Regular sell-through in the field. batch 473
SKU-1474,web,2026-W35,25,300.00,216.00,EU-North,Rep-6,Regular sell-through in the field. batch 474
SKU-1475,web,2026-W36,26,208.00,149.76,EU-North,Rep-7,Regular sell-through in the field. batch 475
SKU-1476,web,2026-W37,10,90.00,64.80,EU-North,Rep-8,Regular sell-through in the field. batch 476
SKU-1477,web,2026-W38,11,110.00,79.20,EU-North,Rep-9,Regular sell-through in the field. batch 477
SKU-1478,web,2026-W39,12,132.00,95.04,EU-North,Rep-10,Regular sell-through in the field. batch 478
SKU-1479,web,2026-W40,13,156.00,112.32,EU-North,Rep-11,Regular sell-through in the field. batch 479
SKU-1480,web,2026-W1,14,112.00,80.64,EU-North,Rep-0,Regular sell-through in the field. batch 480
# Historical aside without a metric. 0 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 1 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 2 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 3 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 4 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 5 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 6 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 7 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 8 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 9 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 10 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 11 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 12 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 13 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 14 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 15 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 16 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 17 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 18 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 19 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 20 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 21 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 22 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 23 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 24 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 25 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 26 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 27 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 28 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 29 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
# Historical aside without a metric. 30 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
